key;site_;lat;long;year_i;year_f
BAH_07_2002_2009;BAH_07;-14.47048333;-44.18843333;2002;2009
BOC_01_2004_2010;BOC_01;-22.161732;-44.465836;2004;2010
BOC_02_2001_2006;BOC_02;-22.2175;-44.5389;2001;2006
